I2M2;v1.0.6;2023-04-26;Temps d'execution :;10.35secs
CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT;COMMENTAIRE
0416814012/09/2022;04168140;12/09/2022;8055;OvovivipariteI2M2;0.2465;
0416814012/09/2022;04168140;12/09/2022;8054;RichesseI2M2;0.449;
0416814012/09/2022;04168140;12/09/2022;7613;Ind Invert Multimetrique;0.4281;
0416814012/09/2022;04168140;12/09/2022;8050;NbTaxonsI2M2Contributifs;44;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011, 3127.
0417145013/09/2022;04171450;13/09/2022;8058;IndiceShannonI2M2;0.7164;
0417145013/09/2022;04171450;13/09/2022;8057;AverageScorePerTaxonI2M2;0.6691;
0417145013/09/2022;04171450;13/09/2022;8056;PolyvoltinismeI2M2;0.8196;
0417145013/09/2022;04171450;13/09/2022;8055;OvovivipariteI2M2;0.6436;
0417145013/09/2022;04171450;13/09/2022;8054;RichesseI2M2;0.6735;
0417145013/09/2022;04171450;13/09/2022;7613;Ind Invert Multimetrique;0.706;
0417145013/09/2022;04171450;13/09/2022;8050;NbTaxonsI2M2Contributifs;59;Les taxons suivants, representant 2% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 3127.
0417167012/09/2022;04171670;12/09/2022;8058;IndiceShannonI2M2;0.8584;
0417167012/09/2022;04171670;12/09/2022;8057;AverageScorePerTaxonI2M2;0.912;
0417167012/09/2022;04171670;12/09/2022;8056;PolyvoltinismeI2M2;0.922;
0417167012/09/2022;04171670;12/09/2022;8055;OvovivipariteI2M2;0.8015;
0417167012/09/2022;04171670;12/09/2022;8054;RichesseI2M2;0.7959;
0417167012/09/2022;04171670;12/09/2022;7613;Ind Invert Multimetrique;0.8618;
0417167012/09/2022;04171670;12/09/2022;8050;NbTaxonsI2M2Contributifs;65;Les taxons suivants, representant 6% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 49953, 50011, 3206, 3170.
0417203013/09/2022;04172030;13/09/2022;8058;IndiceShannonI2M2;0.5456;
0417203013/09/2022;04172030;13/09/2022;8057;AverageScorePerTaxonI2M2;0.8302;
0417203013/09/2022;04172030;13/09/2022;8056;PolyvoltinismeI2M2;0.6559;
0417203013/09/2022;04172030;13/09/2022;8055;OvovivipariteI2M2;0.6028;
0417203013/09/2022;04172030;13/09/2022;8054;RichesseI2M2;0.5197;
0417203013/09/2022;04172030;13/09/2022;7613;Ind Invert Multimetrique;0.642;
0417203013/09/2022;04172030;13/09/2022;8050;NbTaxonsI2M2Contributifs;51;Les taxons suivants, representant 2% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 3170.
0417206013/09/2022;04172060;13/09/2022;8058;IndiceShannonI2M2;0.5665;
0417206013/09/2022;04172060;13/09/2022;8057;AverageScorePerTaxonI2M2;0.8235;
0417206013/09/2022;04172060;13/09/2022;8056;PolyvoltinismeI2M2;0.5427;
0417206013/09/2022;04172060;13/09/2022;8055;OvovivipariteI2M2;0.5649;
0417206013/09/2022;04172060;13/09/2022;8054;RichesseI2M2;0.462;
0417206013/09/2022;04172060;13/09/2022;7613;Ind Invert Multimetrique;0.6009;
0417206013/09/2022;04172060;13/09/2022;8050;NbTaxonsI2M2Contributifs;47;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 3127, 3170.
0417257014/09/2022;04172570;14/09/2022;8058;IndiceShannonI2M2;0.3055;
0417257014/09/2022;04172570;14/09/2022;8057;AverageScorePerTaxonI2M2;0.5966;
0417257014/09/2022;04172570;14/09/2022;8056;PolyvoltinismeI2M2;0.8143;
0417257014/09/2022;04172570;14/09/2022;8055;OvovivipariteI2M2;0.5721;
0417257014/09/2022;04172570;14/09/2022;8054;RichesseI2M2;0.5918;
0417257014/09/2022;04172570;14/09/2022;7613;Ind Invert Multimetrique;0.5896;
0417257014/09/2022;04172570;14/09/2022;8050;NbTaxonsI2M2Contributifs;54;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 49953, 50792.
0417308314/09/2022;04173083;14/09/2022;8058;IndiceShannonI2M2;0.8446;
0417308314/09/2022;04173083;14/09/2022;8057;AverageScorePerTaxonI2M2;0.8113;
0417308314/09/2022;04173083;14/09/2022;8056;PolyvoltinismeI2M2;0.8844;
0417308314/09/2022;04173083;14/09/2022;8055;OvovivipariteI2M2;0.7229;
0417308314/09/2022;04173083;14/09/2022;8054;RichesseI2M2;0.5714;
0417308314/09/2022;04173083;14/09/2022;7613;Ind Invert Multimetrique;0.7757;
0417308314/09/2022;04173083;14/09/2022;8050;NbTaxonsI2M2Contributifs;51;Les taxons suivants, representant 2% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50011.
0417310014/09/2022;04173100;14/09/2022;8058;IndiceShannonI2M2;0.8788;
0417310014/09/2022;04173100;14/09/2022;8057;AverageScorePerTaxonI2M2;0.816;
0417310014/09/2022;04173100;14/09/2022;8056;PolyvoltinismeI2M2;0.9245;
0417310014/09/2022;04173100;14/09/2022;8055;OvovivipariteI2M2;0.7299;
0417310014/09/2022;04173100;14/09/2022;8054;RichesseI2M2;0.8367;
0417310014/09/2022;04173100;14/09/2022;7613;Ind Invert Multimetrique;0.835;
0417310014/09/2022;04173100;14/09/2022;8050;NbTaxonsI2M2Contributifs;65;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 49953, 50011, 3170.
0417340501/06/2022;04173405;01/06/2022;8058;IndiceShannonI2M2;0.6081;
0417340501/06/2022;04173405;01/06/2022;8057;AverageScorePerTaxonI2M2;0.6674;
0417340501/06/2022;04173405;01/06/2022;8056;PolyvoltinismeI2M2;0.5807;
0417340501/06/2022;04173405;01/06/2022;8055;OvovivipariteI2M2;0.3968;
0417340501/06/2022;04173405;01/06/2022;8054;RichesseI2M2;0.4694;
0417340501/06/2022;04173405;01/06/2022;7613;Ind Invert Multimetrique;0.5454;
0417340501/06/2022;04173405;01/06/2022;8050;NbTaxonsI2M2Contributifs;48;Les taxons suivants, representant 2% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 3206.
0417373715/09/2022;04173737;15/09/2022;8058;IndiceShannonI2M2;0.769;
0417373715/09/2022;04173737;15/09/2022;8057;AverageScorePerTaxonI2M2;0.7903;
0417373715/09/2022;04173737;15/09/2022;8056;PolyvoltinismeI2M2;0.695;
0417373715/09/2022;04173737;15/09/2022;8055;OvovivipariteI2M2;0.5344;
0417373715/09/2022;04173737;15/09/2022;8054;RichesseI2M2;0.5714;
0417373715/09/2022;04173737;15/09/2022;7613;Ind Invert Multimetrique;0.6729;
0417373715/09/2022;04173737;15/09/2022;8050;NbTaxonsI2M2Contributifs;50;Les taxons suivants, representant 4% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 49953, 50011.
0417425015/09/2022;04174250;15/09/2022;8058;IndiceShannonI2M2;0.4983;
0417425015/09/2022;04174250;15/09/2022;8057;AverageScorePerTaxonI2M2;0.3037;
0417425015/09/2022;04174250;15/09/2022;8056;PolyvoltinismeI2M2;0.4341;
0417425015/09/2022;04174250;15/09/2022;8055;OvovivipariteI2M2;0.2765;
0417425015/09/2022;04174250;15/09/2022;8054;RichesseI2M2;0.5714;
0417425015/09/2022;04174250;15/09/2022;7613;Ind Invert Multimetrique;0.4024;
0417425015/09/2022;04174250;15/09/2022;8050;NbTaxonsI2M2Contributifs;53;Les taxons suivants, representant 7% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 50792, 3127, 3206, 3170.
0417452016/09/2022;04174520;16/09/2022;8058;IndiceShannonI2M2;0.3111;
0417452016/09/2022;04174520;16/09/2022;8057;AverageScorePerTaxonI2M2;0.5971;
0417452016/09/2022;04174520;16/09/2022;8056;PolyvoltinismeI2M2;0.5943;
0417452016/09/2022;04174520;16/09/2022;8055;OvovivipariteI2M2;0.3559;
0417452016/09/2022;04174520;16/09/2022;8054;RichesseI2M2;0.4898;
0417452016/09/2022;04174520;16/09/2022;7613;Ind Invert Multimetrique;0.4762;
0417452016/09/2022;04174520;16/09/2022;8050;NbTaxonsI2M2Contributifs;48;Les taxons suivants, representant 6% des taxons du prelevement, n'ont pas ete pris en compte dans le calcul : 49953, 50011, 3170.
0417466015/09/2022;04174660;15/09/2022;8058;IndiceShannonI2M2;0.7701;
0417466015/09/2022;04174660;15/09/2022;8057;AverageScorePerTaxonI2M2;0.6266;
0417466015/09/2022;04174660;15/09/2022;8056;PolyvoltinismeI2M2;0.6574;
0417466015/09/2022;04174660;15/09/2022;8055;OvovivipariteI2M2;0.6393;
